OBJECTID,EVENT_ID,FIRE_NAME,FIRE_YEAR,ACRES,ASMNT_TYPE,PREIMGYMD,POSTIMGYMD,UPDATE_YMD,SHAPEAREA,SHAPELEN
2573,CA3568711855020210818,FRENCH,2021,27301.75,Initial,20201015,20211015,20221223,0.0110017242265335,0.893464571038713
2574,CA3604711863120210910,WINDY,2021,97634.95,Initial,20201018,20211015,20221223,0.0394843595885461,2.16226196163999
2575,CA3620712156020210618,WILLOW,2021,2883.73,Initial,20200809,20210727,20221223,0.00116951548948873,0.199278286577041
2576,CA3627811855020210815,WALKERS,2021,8761.41,Initial,20201007,20211010,20221223,0.00355772195175771,0.579797196027916
2577,CA3658211879520210912,KNP COMPLEX,2021,89939.33,Initial,20191118,20211117,20221223,0.0366441654474111,2.31510026963245
2578,CA3780211887520210712,DEXTER,2021,2963.41,Initial,20200726,20210814,20221223,0.00122699343250581,0.227373136175739
2579,CA3858612053820210815,CALDOR,2021,225474.49,Initial,20201011,20211016,20221223,0.0944964615365339,3.20893856925594
2580,CA3862811985720210704,TAMARACK,2021,70368.24,Initial,20200928,20210923,20221223,0.0294964894314592,2.11540091466151
2581,CA3983912034520210702,SUGAR,2021,108324.53,Initial,20200809,20210819,20221223,0.0461915804131075,1.93918296797658
2582,CA3987612137920210714,DIXIE,2021,979960.44,Initial,20201012,20211015,20221223,0.419537758498355,12.0931339049352
2583,CA4035012303620210730,MCFARLAND,2021,123084.96,Initial,20190925,20210929,20221223,0.052741788345491,2.00348995790462
2584,CA4073512229220210922,FAWN,2021,8575.06,Initial,20201014,20211014,20221223,0.00369856270170527,0.476403759250793
2585,CA4075212333720210731,MONUMENT,2021,224620.19,Initial,20201014,20211009,20221223,0.0969022973995487,3.43953382724735
2586,CA4086312235520210630,SALT,2021,12611.73,Initial,20210628,20210728,20221223,0.00545511684718671,0.632103448526316
2587,CA4091612363420210829,KNOB,2021,2437.85,Initial,20191001,20211006,20221223,0.00105437672984271,0.208478362250564
2588,CA4114212301620210731,HAYPRESS,2021,201454.96,Initial,20201014,20211014,20221223,0.0873999215989533,5.29442915839855
2589,CA4132412320120210731,CRONAN,2021,6321.45,Initial,20190925,20211004,20221223,0.00275054218782006,0.713195360045402
2590,CA4145912232920210625,LAVA,2021,26534.06,Initial,20200909,20210914,20221223,0.0115758048369181,1.10807913890239
2591,CA4150012192920210801,ANTELOPE,2021,146828.78,Initial,20201014,20211016,20221223,0.064197919496044,2.83082964151985
2592,CA4156412340420210801,MCCASH,2021,95195.18,Initial,20201014,20211014,20221223,0.0415823627081823,2.57193491104578
2593,CA4166512205420210628,TENNANT,2021,11422.38,Initial,20200802,20210817,20221223,0.00500119792718507,0.542975197590894
2662,CA3621411853220140114,SODA,2014,1548.14,Initial,20130513,20140414,20221223,0.000627936858408787,0.161721502837718
2663,CA3622011862020181004,ALDER,2018,4654.22,Initial,20171123,20181126,20221223,0.00188807013773477,0.23555508977803
2664,CA3615911869620170829,PIER,2017,36816.47,Initial,20161012,20171022,20221223,0.0149153188180726,0.885276202000347
2665,CA3620811844420130823,FISH,2013,2103.55,Initial,20130817,20130902,20221223,0.000853315641413343,0.235419108436193
2667,CA4035712344220150731,GOBBLER,2015,8283.38,Initial,20130914,20150920,20221223,0.00355313301591167,0.375686157554269
2668,CA4035812356120150806,LASSICS,2015,18263.42,Initial,20130914,20150920,20221223,0.0078317732850873,0.564031363763253
